Q1.4,0,1
Construction,1,1
Education,4,1
Energy,5,7
Entertainment And Media,5,2
Finance,4,1
Healthcare,1,5
Hospitality,3,1
Manufacturing,5,0
Retail,2,1
Technology,9,3
Transportation And Logistics,3,0
